"J1001","J1031","J1046","J1047","J1056","J1075","J1096","J1152","J1222","J1266","J1318","J1345","J1351","J1355","J1366","J1368","J1392","J1398","J1399","J1423","J145","J1458","J1463","J1506","J1529","J1532","J1602","J1618","J1623","J1627","J1631","J1633","J164","J1711","J1726","J1735","J1879","J1893","J1902","J1916","J1917","J1953","J1962","J1965","J1973","J1979","J2025","J2039","J2072","J2077","J2090","J2124","J2126","J2128","J2130","J2141","J2149","J2154","J2168","J2196","J2197","J2263","J2267","J2280","J229","J230","J2331","J2375","J2377","J2382","J2392","J2395","J2446","J2540","J2546","J2563","J2619","J2621","J2652A","J2661","J2710","J2782","J289","J2941","J2942","J295","J2952","J2961","J2969","J2984","J2986","J3019","J3085","J3126","J3295","J3369","J338","J3383","J3462","J3473","J3477","J3490","J3493","J3506","J3508","J3526","J3536","J3537","J3549","J3585","J3586","J3590","J3594","J3610","J3631","J3699","J3702","J3714","J3716","J3718","J3727","J3740","J3753","J3757","J3759","J3777","J3828","J3840","J3842","J3862","J3884","J3896","J3899","J3918","J3926","J3943","J3972","J3987","J4001","J4013","J4039","J4044","J4046","J4048","J4049","J4052","J4056","J4081","J4093","J4095","J41","J4109","J4111","J4112","J4138","J4151","J4161","J4162","J4180","J4189","J42","J4205","J4214","J4226","J4278","J4282","J4304","J4312","J4315","J4337","J4345","J446","J4474","J4513","J4514","J4515","J4521","J4535","J4539","J4557","J4558","J4562","J4566","J4569","J4572","J4573","J4574","J4576","J4580","J4581","J4587","J4591","J4592","J4596","J4601","J4605","J4624","J4630","J4634","J4643","J4644","J4645","J4646","J4648","J4651","J4652","J4658","J4660","J4680","J4686","J4688","J4692","J4713","J4715","J4725","J4727","J4728","J4732","J4733","J4747","J4749","J4752","J4754","J4757","J4758","J4770","J4777","J4778","J4782","J4796","J4797","J4798","J4801","J4802","J4806","J4812","J4814","J4836","J4840","J4848","J4851","J4878","J4912","J4916","J4920","J4922","J4924","J4945B","J4951","J4954","J4957","J4961","J4967","J4976","J4985","J4986","J4998","J4999","J5000","J5001","J5006","J5016","J5018","J5019","J5020","J5021","J5022","J5024","J5025","J5028","J5030","J5032","J5034","J5036","J5039","J5040","J5042","J5043","J5048","J5049","J505","J5051","J5052","J5053","J5056","J5057","J5058","J5061","J5063","J5064","J5068","J5071","J5072","J5074","J5075","J5081","J509","J516","J56","J587","J595","J618","J625","J745","J793","J831","J837","J843","J856","J889","J899","J933","J971","J972","J990"
0,0,0,0,0,0,0.0319148936170213,0,0.0102040816326531,0,0,0.0264900662251656,0.0116959064327485,0,0,0,0,0,0.015625,0,0.00680272108843537,0,0,0,0,0,0,0,0,0.00847457627118644,0.0204081632653061,0,0.0273972602739726,0,0,0.0124223602484472,0.0185185185185185,0,0,0,0,0.00584795321637427,0,0,0,0,0,0,0,0.185840707964602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917431192660551,0,0.0238095238095238,0.0132450331125828,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0.0235294117647059,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0.0142857142857143,0.0377358490566038,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0.0234375,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029585798816568,0,0,0.019047619047619,0,0,0,0,0,0.008,0.0163265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119047619047619,0,0,0,0,0,0,0,0,0,0,0.0304568527918782,0,0.0258064516129032,0,0,0,0.0141843971631206,0,0,0.0485436893203883,0.0135135135135135,0,0.0274725274725275,0,0,0,0.0224719101123595,0.00546448087431694,0,0,0.0106761565836299,0.00826446280991736,0,0,0,0,0,0,0.00543478260869565,0,0,0.0201342281879195,0,0,0,0,0.025,0,0,0,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0.0286885245901639,0,0,0,0,0.0194805194805195,0.0431654676258993,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147058823529412,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760456273764259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0
0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0.0651685393258427,0,0,0,0,0,0,0,0,0.2,0.0177304964539007,0.0131004366812227,0.0324675324675325,0,0,0,0,0,0,0,0,0,0.00595238095238095,0.0525,0,0,0,0,0,0,0,0,0,0.0134680134680135,0,0,0.0372670807453416,0.0051150895140665,0,0.0667613636363636,0,0,0,0,0.0124223602484472,0,0.00789473684210526,0,0,0,0,0,0,0,0,0.0498915401301518,0,0,0.00304878048780488,0,0,0,0,0.0454545454545455,0,0,0,0,0.0315315315315315,0,0.0037593984962406,0.0160771704180064,0.00238095238095238,0,0,0,0,0.0385964912280702,0.024390243902439,0,0,0,0,0,0.0836734693877551,0,0,0,0,0,0.00371747211895911,0,0,0,0,0.00367647058823529,0,0.00555555555555556,0.00704225352112676,0,0,0,0,0,0,0,0,0.00307692307692308,0,0.0112359550561798,0,0,0.0226537216828479,0,0,0,0.0235294117647059,0,0,0,0,0,0,0,0,0.0164473684210526,0.0383480825958702,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307692307692308,0.0260223048327138,0.0200573065902579,0,0,0,0.0550724637681159,0.0297029702970297,0,0,0,0,0.0531914893617021,0,0,0,0.00740740740740741,0.00754716981132075,0,0,0.0376811594202899,0,0,0.00554016620498615,0,0,0,0,0,0,0,0,0.00346020761245675,0,0,0,0,0.00421052631578947,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107142857142857,0.0369685767097967,0.00636942675159236,0.00380228136882129,0,0.019672131147541,0,0,0,0,0,0,0.00611620795107034,0,0,0,0,0,0.0148367952522255,0.0441988950276243,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0.00466200466200466,0.00292397660818713,0.00344827586206897,0,0,0,0,0,0.00259067357512953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111940298507463,0,0,0,0,0,0,0,0,0,0.00341296928327645,0.0205128205128205,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,0.0136986301369863,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180722891566265,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0.0136986301369863,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0.00819672131147541,0,0,0,0,0,0,0,0,0,0.0136986301369863,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446428571428571,0.00746268656716418,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.00324675324675325,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112994350282486,0.0111111111111111,0.0263157894736842,0,0,0,0,0.0555555555555556,0.00746268656716418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138888888888889,0
0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0,0,0.0440251572327044,0,0,0,0,0,0,0,0,0.0313390313390313,0.013986013986014,0.0222222222222222,0.0114942528735632,0.0141843971631206,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0.0324675324675325,0,0,0.0212765957446809,0.0161943319838057,0,0.0322033898305085,0,0,0,0,0.00546448087431694,0,0.0126050420168067,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0.00537634408602151,0,0,0,0,0.0201005025125628,0,0,0,0,0.025974025974026,0,0,0.0235294117647059,0.0108695652173913,0,0,0,0,0.0198675496688742,0.0104166666666667,0.00543478260869565,0.0161290322580645,0,0,0,0.0485175202156334,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0,0,0.0285714285714286,0,0,0,0,0,0.00636942675159236,0,0,0.010989010989011,0,0.0283018867924528,0,0,0.029585798816568,0,0,0,0.0510204081632653,0,0,0,0,0,0.0128205128205128,0,0,0.0308641975308642,0.05,0.00584795321637427,0,0,0,0,0,0,0,0,0.0210526315789474,0.0316455696202532,0,0.00865800865800866,0.0075187969924812,0,0,0,0,0,0,0,0,0.0395480225988701,0.0151515151515152,0.00943396226415094,0,0,0,0.0471698113207547,0.0240963855421687,0,0,0,0,0.113564668769716,0,0,0,0,0.016260162601626,0.00689655172413793,0,0.0285714285714286,0,0.00684931506849315,0.0091324200913242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120845921450151,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0.0182926829268293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291970802919708,0.00239234449760766,0.0175438596491228,0,0,0,0,0,0,0,0,0,0.0218579234972678,0,0,0,0,0,0,0.0260869565217391,0,0.0148148148148148,0,0,0.0114942528735632,0,0,0,0.00740740740740741,0,0,0,0,0.01875,0,0,0.00840336134453781,0.00819672131147541,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0.0078125,0.00823045267489712,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0.00662251655629139,0.0199203187250996,0
0,0,0,0,0,0,0,0.0181818181818182,0.0135135135135135,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106382978723404,0,0,0,0,0,0.0072463768115942,0.0117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0.0078125,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0.00980392156862745,0.00671140939597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671140939597315,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072992700729927,0,0.00574712643678161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00888888888888889,0,0,0,0,0,0,0.0357142857142857,0,0,0.0121951219512195,0,0,0,0
0.0319148936170213,0,0,0,0,0,0,0,0,0,0,0.0823970037453183,0.0909090909090909,0.00540540540540541,0,0,0,0,0.0364583333333333,0,0.0367647058823529,0,0,0,0,0,0,0,0,0.012,0.0165745856353591,0,0.0145631067961165,0,0,0.0645161290322581,0.0338983050847458,0,0,0,0,0.108695652173913,0,0,0,0,0.0213903743315508,0,0,0.0428015564202335,0,0,0,0,0,0.00578034682080925,0.00606060606060606,0.0103092783505155,0,0,0,0,0,0,0.0472103004291846,0.00561797752808989,0.0377358490566038,0.0512820512820513,0,0.0452674897119342,0,0.00591715976331361,0.0112359550561798,0,0,0,0.00561797752808989,0,0,0.0465116279069767,0.00606060606060606,0,0.0807017543859649,0,0,0,0,0,0.0216216216216216,0,0.0144230769230769,0,0,0,0,0,0.0148514851485149,0.0161290322580645,0,0,0.00401606425702811,0.0110497237569061,0,0,0,0,0,0,0.00558659217877095,0,0,0,0,0,0,0,0,0,0.00537634408602151,0,0,0.0149253731343284,0,0,0,0,0,0,0,0,0,0,0,0.0557768924302789,0.00602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405405405405405,0,0,0.0211864406779661,0,0,0.0161290322580645,0.00574712643678161,0,0.0236220472440945,0.0550964187327824,0.00448430493273543,0,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0.028169014084507,0,0,0,0,0,0,0,0,0,0,0.112211221122112,0,0.0280701754385965,0,0,0,0.0183823529411765,0.00561797752808989,0,0.0210970464135021,0.0533980582524272,0,0.0627615062761506,0,0,0.00609756097560976,0.00896860986547085,0.0635451505016722,0,0,0.0245098039215686,0.040650406504065,0.00609756097560976,0,0,0,0.0174418604651163,0,0,0,0,0.0214285714285714,0,0.00549450549450549,0,0,0,0,0,0,0.0021551724137931,0,0,0,0,0,0.0220994475138122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588235294117647,0,0.129032258064516,0,0,0,0,0.0777777777777778,0.0488721804511278,0.0274725274725275,0.0178571428571429,0,0,0.0376569037656904,0,0,0.0114285714285714
0,0,0,0,0,0.0181818181818182,0,0,0.0170940170940171,0,0,0.0233918128654971,0.00826446280991736,0,0,0,0.0588235294117647,0.0140845070422535,0,0.0185185185185185,0,0.0288461538461538,0.0121951219512195,0,0,0,0,0,0,0.0451127819548872,0,0.0185185185185185,0.0106382978723404,0,0,0,0,0,0,0.0404040404040404,0,0.0105263157894737,0.01,0,0.0374331550802139,0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0.028169014084507,0,0,0,0,0,0.00775193798449612,0,0.00952380952380952,0,0.0151515151515152,0,0,0,0.03125,0,0,0,0,0,0,0.018348623853211,0,0.0425531914893617,0.0210526315789474,0,0,0,0,0,0.0135135135135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487804878048781,0,0,0,0.02,0,0.0153846153846154,0,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.00689655172413793,0,0.00917431192660551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561797752808989,0,0,0,0,0.015625,0,0,0.00946372239747634,0,0.0102564102564103,0,0,0,0,0.0099009900990099,0,0,0.00996677740863787,0.0142857142857143,0,0,0,0,0,0,0.0199004975124378,0,0,0.00584795321637427,0,0.0147058823529412,0.0192307692307692,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0449438202247191,0,0,0.0277777777777778,0,0,0.03125,0,0,0.0535714285714286,0,0,0,0,0.0102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188679245283019,0,0,0.0253164556962025,0.00743494423791822,0,0,0,0,0.00568181818181818,0,0.0138888888888889,0,0,0.016,0,0,0,0
0.0102040816326531,0,0,0,0,0.0135135135135135,0,0.0170940170940171,0,0,0,0,0,0,0,0,0.0138888888888889,0.0224719101123595,0,0,0,0.0495495495495495,0.0393258426966292,0,0,0,0,0,0,0.0193548387096774,0,0.0277777777777778,0,0,0.038961038961039,0,0,0,0,0.0368663594470046,0,0,0.0619469026548673,0,0.0191387559808612,0,0,0.038961038961039,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0.0120481927710843,0.0192307692307692,0,0,0,0.0440251572327044,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058252427184466,0.0135135135135135,0,0,0.013986013986014,0,0.00689655172413793,0.00546448087431694,0,0,0,0,0.0185185185185185,0,0.015748031496063,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593471810089021,0,0,0,0,0,0,0.0045045045045045,0,0,0.0157232704402516,0,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275229357798165,0,0,0.04,0,0,0.0442477876106195,0,0,0,0,0,0,0.00793650793650794,0.0350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0.0895522388059701,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
