"JID","visit_number","visit_duration","age","sex","pair_ID","degree","fCORT","eigenvector","betweenness","strength","mean_strength","mother_ID","father_ID","mother_fCORT","father_fCORT","parent_fCORT","growth_rate","parent_ID","body_condition","brood_size","hatch_day","social_diff","closeness","transitivity","pc1","pc2","edge_mother","edge_father","mother_dyad_ID","mother_edge","father_dyad_ID","father_edge","parent_edge","parent_edge_binary","mother_visits","father_visits","parent_visits","strength_z","visit_number_z","parent_fCORT_z","obs","betweenness_binary"
"J4630",280,11.9488285728863,1,"M",NA,64,NA,0.0746515530440146,246,1.76770970469336,0.0276204641358337,"J2375","J837",NA,1.82,1.82,11.39166667,"J2375_J837",15.56822518,2,122,2.5037879014896,0.223742592887712,0.678571428571429,-0.675862649072257,-0.151169009518396,0.0465116279069767,NA,"J2375 J4630",0.0465116279069767,"J837 J4630",NA,0.0465116279069767,1,NA,2611,2611,1.03497363064625,0.603471020107771,-1.43370099499223,11,1
"J4643",52,18.7627692405994,1,"F",NA,28,NA,0.0196619651929799,224,0.518932355112031,0.0185332983968582,"J2375","J837",NA,1.82,1.82,10.45833333,"J2375_J837",16.31784567,2,122,4.07996529215168,0.255162660762489,0.764550264550265,0.616841702586041,-1.41961509933061,0.0303030303030303,NA,"J2375 J4643",0.0303030303030303,"J837 J4643",NA,0.0303030303030303,1,NA,2611,2611,-0.525231897391628,-0.309438839821596,-1.43370099499223,13,1
"J4648",1,0,1,"F",NA,6,NA,0.00310481937815537,0,0.140576379617997,0.0234293966029994,"J1001","J2077",4.25,NA,4.25,10.025,"J1001_J2077",22.63096451,2,124,11.8331008483974,0.176600625511391,1,2.38289873365723,-0.197776515115065,NA,NA,"J1001 J4648",NA,"J2077 J4648",NA,NA,0,2366,NA,2366,-0.997944735056299,-0.513642361121586,0.54783093862423,15,0
"J4692",18,6.22605555587345,1,"M",NA,21,NA,0.101711731724238,0,0.951099768169824,0.045290465150944,"J1031","J1171",NA,3.01,3.01,10.91666667,"J1031_J1171",13.25947928,2,124,6.97863209366964,0.201510655123719,0.833333333333333,1.02608191878572,0.29145136230208,NA,NA,"J1031 J4692",NA,"J1171 J4692",NA,NA,0,NA,1966,1966,0.0147122224441919,-0.445574520688256,-0.463321159188287,23,0
"J4713",5,4.61559996604919,1,"M",NA,8,NA,0.00257133825223011,0,0.204086923538378,0.0255108654422972,"J4645","J4646",3.3,4.02,3.66,11.76666667,"J4645_J4646",-1.927401874,2,128,9.59542897417273,0.20920542301127,0.892857142857143,1.83351500814532,-0.650663415771109,NA,NA,"J4645 J4713",NA,"J4646 J4713",NA,NA,0,1266,1257,1261.5,-0.918595520605466,-0.497626398666685,0.0667182469231131,24,0
"J4747",457,11.4149584243282,1,"M",NA,71,NA,0.105893577234979,7,2.56553497395073,0.0361342954077567,"J42","J1351",NA,3.31,3.31,11.975,"J42_J1351",3.995980918,2,126,2.42313091564696,0.174241332261666,0.67645875251509,-0.835262416842539,1.21139266036673,0.125435540069686,0.123893805309735,"J42 J4747",0.125435540069686,"J1351 J4747",0.123893805309735,0.12466467268971,1,NA,2447,2447,2.03176572967093,1.31217735873715,-0.218687587136871,31,1
"J4749",4,13.9960000514984,1,"F",NA,16,NA,0.00923288049136421,0,0.226602791895247,0.0141626744934529,"J1001","J2077",4.25,NA,4.25,8.2,"J1001_J2077",26.33971041,2,124,5.11823973632604,0.197510920422164,0.983333333333333,1.96027527219215,-0.658915523656774,NA,0.010989010989011,"J1001 J4749",NA,"J2077 J4749",0.010989010989011,0.010989010989011,1,2366,NA,2366,-0.890464499258276,-0.50163038928041,0.54783093862423,32,0
"J4757",59,3.39767795093989,1,"F",NA,18,NA,0.00670446508446824,0,0.399649567357019,0.0222027537420566,"J2500","J2168",5.48,NA,5.48,9.591666667,"J2500_J2168",-0.932533845,3,126,4.86496142879404,0.201981718444721,0.849673202614379,1.50328353071411,-0.512462003195253,NA,NA,"J2500 J4757",NA,"J2168 J4757",NA,NA,0,2168,NA,2168,-0.674262198844111,-0.281410905525519,1.55082858403503,35,0
"J4758",17,2.98876470677993,1,"M",NA,30,NA,0.0216493021695233,0,0.616372761447835,0.0205457587149278,"J1355","J933",NA,5.14,5.14,NA,"J1355_J933",-7.782154334,2,126,4.31311547697615,0.219080446719314,0.609195402298851,0.466680484872055,-0.722765540418665,NA,NA,"J1355 J4758",NA,"J933 J4758",NA,NA,0,NA,NA,NA,-0.403491171816851,-0.449578511301981,1.27357720237676,36,0
"J4777",473,8.90364693788847,1,"M",NA,83,NA,0.531782048799193,255.5,2.18038558610464,0.0262697058566824,"J4645","J4646",3.3,4.02,3.66,9.65,"J4645_J4646",-1.009151054,2,128,2.50632017702442,0.218870616919008,0.619159565089627,-2.04651658609836,0.579649478031199,0.105072463768116,0.12624584717608,"J4645 J4777",0.105072463768116,"J4646 J4777",0.12624584717608,0.115659155472098,1,1266,1257,1261.5,1.55056529450983,1.37624120855675,0.0667182469231131,38,1
"J4778",67,6.81540297394368,1,"M",NA,53,NA,0.306727581585062,0,1.33898884879877,0.025263940543373,"J1056","J4521",NA,5.52,5.52,10.85833333,"J1056_J4521",20.24997436,2,127,2.66805838575442,0.206488335065366,0.714078374455733,-0.386482277887205,0.219903214008088,0.037037037037037,0.0421052631578947,"J1056 J4778",0.037037037037037,"J4521 J4778",0.0421052631578947,0.0395711500974659,1,NA,3235,3235,0.49933559270768,-0.249378980615717,1.58344639364189,39,0
"J4782",1329,6.79006170024542,1,"M",NA,146,NA,0.603393834272802,18062,2.44947549238132,0.0167772293998721,"J1046","J1529",NA,2.89,2.89,10.975,"J1046_J1529",-31.85002564,3,128,1.71183232374678,0.330638575789867,0.321020311761927,-9.12126360560601,-6.69757199127785,0.0641025641025641,0.0555555555555556,"J1046 J4782",0.0641025641025641,"J1529 J4782",0.0555555555555556,0.0598290598290598,1,NA,3022,3022,1.88676258336427,4.8036571739056,-0.561174588008853,40,1
"J4796",150,9.79034667174021,1,"M",NA,80,NA,0.461708008574049,1,1.77741195627042,0.0222176494533803,"J972","J1893",1.96,NA,1.96,8.058333333,"J972_J1893",-12.90915105,2,127,2.1850112350574,0.178846284140708,0.651582278481013,-1.26279814926829,0.979139666497467,NA,0.0598290598290598,"J972 J4796",NA,"J1893 J4796",0.0598290598290598,0.0598290598290598,1,2216,NA,2216,1.04709549252181,0.0829522403234826,-1.31953866136824,41,1
