"batch","feather_id","feather_id_new","feather_year_sampled","feather_date","box","JID","BTO","feather_length","feather_weight","extraction_weight_g","extraction_weight_mg","extraction_volume_ml","evaporation_volume_ml","assaybuffer_ml","dilution","CORT_pg.mL","CORT_pg.dL","CORT_pg.mg","CORT_pg.mg.1","site","sex","bite","box_year","feather_year_grown","year_diff","age_2022","age","JID_year_before","JID_year_grown","JID_year_sampled","tarsus_year_before","weight_year_before","tarsus_year_grown","weight_year_grown","tarsus_year_sampled","weight_year_sampled","tarsus","weight","box_grown","box_grown_year","box_owner_grown","partner_yr_before","partner_yr_grown","partner_yr_sampled","pair_ID_yr_before","pair_ID","pair_ID_year","pbvid","body_cond","body_cond_binary","body_cond_binary_num","sex_num","pbvid_mean","pair_ID2","box_density","box_density_cat","mean_tarsus","pair_ID_year2","mean_weight","mean_body_cond","pair_ID_yr_sampled2","feather_year_before","pair_ID_yr_before2","pbvid_mean_yr_before","pbvid_mean_yr_grown","pbvid_mean_yr_sampled","paired_year","repaired_year","feather_year_grown_paired","feather_year_grown_repaired","partner_samediff1","partner_samediff2","partner_samediff3","partner_same","disturbance","body_cond_early","brood_size_early","site_early","site_change","body_cond_c","age_c","body_cond_noNA","pair_ID_yr_sampled","pbvid_mean_c","clutch_size_yr_grown","fledge_nr_yr_grown","fledge_weight_yr_grown","clutch_size_yr_sampled","fledge_nr_yr_sampled","fledge_weight_yr_sampled","fledge_nr","fledge_weight","body_cond_z","age_z"
"A",1,"A1",2014,"11/06/2014","Z34","J833","EY69664",11.8,0.0987,0.0779,77.9,3,2,0.25,1,681.5,0.0682,3.28,3.28,"Z","M",1,"Z34_2014","2013",9,11,2,"J833_2012","J833_2013","J833_2014",NA,NA,NA,NA,43.8,265.5,43.8,265.5,NA,"NA_2013","non-owner",NA,NA,"J797",NA,NA,"NA_2013",NA,24.552525915785,"positive",1,1,NA,NA,NA,NA,44.425,"NA_2013",253.65,9.46454990059181,"J797J833_2014",2012,"NA_2012",NA,NA,NA,NA,2015,NA,-2,1,1,1,3,NA,NA,NA,NA,NA,24.5654874498099,-2.85542168674699,24.552525915785,"J797 J833",NA,NA,NA,NA,5,2,482,2,482,1.48777046147068,-1.22498221450294
"A",2,"A2",2013,"22/05/2013","Z06","J241","EY40903",11.7,0.0912,0.0708,70.8,3,1.5,0.25,1,615.5,0.0616,4.35,4.35,"Z","F",NA,"Z06_2013","2012",10,12,2,"J241_2011","J241_2012","J241_2013",NA,NA,NA,NA,44.5,219.1,44.5,219.1,NA,"NA_2012","non-owner",NA,NA,"J271",NA,NA,"NA_2012",NA,-26.6069522008724,"negative",0,0,NA,NA,NA,NA,43.45,"NA_2012",223,-14.1179844396803,"J241J271_2013",2011,"NA_2011",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-26.5939906668475,-2.85542168674699,-26.6069522008724,"J241 J271",NA,NA,NA,NA,5,2,438.2,2,438.2,-1.61062359733753,-1.22498221450294
"A",3,"A3",2014,"18/05/2014","Y31","J792","EY69524",11.3,0.085,0.0798,79.8,3,2,0.25,1,664.6,0.0665,3.12,3.12,"Y","F",NA,"Y31_2014","2013",9,11,2,"J792_2012","J792_2013","J792_2014",NA,NA,NA,NA,40.1,196.5,40.1,196.5,NA,"NA_2013","non-owner",NA,NA,"UNMARKED",NA,NA,"NA_2013",NA,-19.2902326104584,"negative",0,0,NA,NA,NA,NA,40.325,"NA_2013",200.55,-13.9158509148963,"J792UNMARKED_2014",2012,"NA_2012",NA,NA,NA,NA,2017,NA,-4,1,1,1,3,NA,NA,NA,NA,NA,-19.2772710764335,-2.85542168674699,-19.2902326104584,"J792 UNMARKED",NA,NA,NA,NA,5,2,482.2,2,482.2,-1.16749787863472,-1.22498221450294
"A",4,"A4",2014,"12/06/2014","Y30","J834","EY69665",11.5,0.0776,0.0721,72.1,3,2,0.25,1,578.5,0.0579,3.01,3.01,"Y","F",NA,"Y30_2014","2013",9,11,2,"J834_2012","J834_2013","J834_2014",NA,NA,NA,NA,44,214.7,44,214.7,NA,"NA_2013","non-owner",NA,NA,"J460",NA,NA,"NA_2013",NA,-27.607324974689,"negative",0,0,0.062041610165,NA,NA,NA,43.9,"NA_2013",211.65,-28.7298916672491,"J834J460_2014",2012,"NA_2012",NA,NA,0.062041610165,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-27.5943634406641,-2.85542168674699,-27.607324974689,"J834 J460",-0.0173606569487624,NA,NA,NA,2,2,414.3,2,414.3,-1.67120961527772,-1.22498221450294
"A",5,"A5",2013,"20/06/2013","Y28","J361","EY40559",12.1,0.1016,0.0906,90.6,3,2,0.25,1,647.4,0.0647,2.68,2.68,"Y","M",NA,"Y28_2013","2012",10,12,2,"J361_2011","J361_2012","J361_2013",NA,NA,NA,NA,45.4,231.8,45.4,231.8,NA,"NA_2012","non-owner",NA,NA,NA,NA,NA,"NA_2012",NA,-20.0262812080026,"negative",0,1,NA,NA,NA,NA,44.3666666666667,"NA_2012",240.733333333333,-3.02927694028348,"NA_2013",2011,"NA_2011",NA,NA,NA,NA,2016,NA,-4,1,1,1,3,NA,NA,NA,NA,NA,-20.0133196739777,-2.85542168674699,-20.0262812080026,"NA J361",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21207551479482,-1.22498221450294
"A",6,"A6",2014,"19/05/2014","Y23","J793","EY69525",9.8,0.0689,0.0786,78.6,3,2,0.25,1,524,0.0524,2.5,2.5,"Y","F",NA,"Y23_2014","2013",9,11,2,"J793_2012","J793_2013","J793_2014",NA,NA,NA,NA,43,237.8,43,237.8,NA,"NA_2013","non-owner",NA,NA,NA,NA,NA,"NA_2013",NA,2.29192947767781,"positive",1,0,NA,NA,NA,NA,43,"NA_2013",240.133333333333,6.27725612122202,"NA_2014",2012,"NA_2012",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,2.30489101170267,-2.85542168674699,2.29192947767781,"J793 NA",NA,NA,NA,NA,5,3,726.9,3,726.9,0.13959213189344,-1.22498221450294
"A",7,"A7",2014,"09/06/2014","Y12","J830","EY69661",12.5,0.106,0.0917,91.7,3,2,0.25,1,819.2,0.0819,3.35,3.35,"Y","M",NA,"Y12_2014","2013",9,11,2,"J830_2012","J830_2013","J830_2014",NA,NA,NA,NA,45.1,251.4,45.1,251.4,NA,"NA_2013","non-owner",NA,NA,"J794",NA,NA,"NA_2013",NA,1.61349512770745,"positive",1,1,0.00881606457,NA,NA,NA,45.1,"NA_2013",251.4,2.32168905923391,"J794J830_2014",2012,"NA_2012",NA,NA,0.00881606457,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,1.62645666173231,-2.85542168674699,1.61349512770745,"J794 J830",-0.0705862025437624,NA,NA,NA,4,2,512.1,2,512.1,0.0985038128444003,-1.22498221450294
"A",8,"A8",2013,"17/06/2013","Y09","J314","EY40512",11.5,0.0937,0.09,90,3,2,0.25,1,685,0.0685,2.85,2.85,"Y","M",NA,"Y09_2013","2012",10,12,2,"J314_2011","J314_2012","J314_2013",NA,NA,NA,NA,45.2,230.5,45.2,230.5,NA,"NA_2012","non-owner",NA,NA,NA,NA,NA,"NA_2012",NA,-19.9664303175292,"negative",0,1,NA,NA,NA,NA,45.25,"NA_2012",230.95,-19.2156133499557,"NA_2013",2011,"NA_2011",NA,NA,NA,NA,2017,NA,-5,1,1,1,3,NA,NA,NA,NA,NA,-19.9534687835043,-2.85542168674699,-19.9664303175292,"NA J314",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20845073889241,-1.22498221450294
"A",9,"A9",2013,"13/06/2013","Y07","J290","EY40986",11.1,0.0824,0.0729,72.9,3,2,0.25,1,446,0.0446,2.29,2.29,"Y","M",NA,"Y07_2013","2012",10,12,2,"J290_2011","J290_2012","J290_2013",NA,NA,NA,NA,45.8,247.2,45.8,247.2,NA,"NA_2012","non-owner",NA,NA,"J250",NA,NA,"NA_2012",NA,-7.34598298894932,"negative",0,1,NA,NA,NA,NA,44.94,"NA_2012",241.233333333333,-6.68518837096382,"J250J290_2013",2011,"NA_2011",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-7.33302145492446,-2.85542168674699,-7.34598298894932,"J250 J290",NA,NA,NA,NA,3,2,442.4,2,442.4,-0.444113015720019,-1.22498221450294
"A",11,"A11",2016,"27/05/2016","Z43","J36","EY40828",12,0.0941,0.0857,85.7,3,2,0.25,1,888.8,0.0889,3.89,3.89,"Z","F",NA,"Z43_2016","2015",7,12,5,"J36_2014","J36_2015","J36_2016",NA,NA,NA,NA,38.6,220,38.6,220,"Z43","Z43_2015","owner",NA,"J833","J833",NA,"J36 J833","J36 J833_2015",NA,14.4086490680919,"positive",1,0,NA,"J36J833",0,"Low",38.75,"J36J833_2015",232.5,29.4508243815948,"J36J833_2016",2014,"NA_2014",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,14.4216106021168,0.144578313253012,14.4086490680919,"J36 J833",NA,5,2,472.9,6,1,241.3,1.5,357.1,0.87342236967611,0.0620244159241996
