"JID","batch","feather_id","feather_id_new","feather_year_sampled","feather_date","box","BTO","feather_length","feather_weight","extraction_weight_g","extraction_weight_mg","extraction_volume_ml","evaporation_volume_ml","assaybuffer_ml","dilution","CORT_pg.mL","CORT_pg.dL","CORT_pg.mg","CORT_pg.mg.1","site","sex","bite","box_year","feather_year_grown","year_diff","age_2022","age","JID_year_before","JID_year_grown","JID_year_sampled","tarsus_year_before","weight_year_before","tarsus_year_grown","weight_year_grown","tarsus_year_sampled","weight_year_sampled","tarsus","weight","box_grown","box_grown_year","box_owner_grown","partner_yr_before","partner_yr_grown","partner_yr_sampled","pair_ID_yr_before","pair_ID","pair_ID_year","clutch_size","fledge_nr","fledge_weight","pbvid","body_cond","body_cond_binary","body_cond_binary_num","sex_num","pbvid_mean","pair_ID2","box_density","box_density_cat","mean_tarsus","pair_ID_year2","mean_weight","mean_body_cond","pair_ID_yr_sampled2","feather_year_before","pair_ID_yr_before2","pbvid_mean_yr_before","pbvid_mean_yr_grown","pbvid_mean_yr_sampled","paired_year","repaired_year","feather_year_grown_paired","feather_year_grown_repaired","partner_samediff1","partner_samediff2","partner_samediff3","partner_same","disturbance","body_cond_early","brood_size_early","site_early","site_change","body_cond_c","age_c","body_cond_noNA","pair_ID_yr_sampled","pbvid_mean_c","visit_number","visit_duration","degree","eigenvector","betweenness","strength","mean_strength","closeness","transitivity","pc1","pc2","visit_nr_own_box","visit_nr_prospect"
"J1001","B",65,"B65",2023,"19/05/2023","Z16","EY69903",11.4,0.0931,0.0836,83.6,3,1.5,0.25,1,710.1,0.071,4.25,4.25,"Z","F",NA,"Z16_2023",2022,0,8,8,"J1001_2021","J1001_2022","J1001_2023",NA,NA,NA,NA,42,235.4,42,235.4,"Z16","Z16_2022","owner","J2077","J2077","J2077","J1001 J2077","J1001 J2077","J1001 J2077_2022",4,2,439.7,0.019,6.69118393004464,"positive",1,0,0.019,"J1001J2077",3,"Medium",42.1,"J1001J2077_2022",232.166666666667,4.83440390969311,"J1001J2077_2023",2021,"J1001J2077_2021",NA,0.019,NA,NA,2020,NA,2,1,1,1,3,"Medium",-1.091659255,3,"Z","same_site",6.7041454640695,3.14457831325301,6.69118393004464,"J1001 J2077",-0.0604022671137624,90,8.74427779250675,51,0.0449406446288742,173,1.32140883184131,0.0259099770949277,0.245969046328961,0.723137254901961,-0.269178804348288,-0.74658430778174,2366,72
"J1076","B",42,"B42",2023,"19/06/2023","NO","EY69846",11.1,0.0852,0.0681,68.1,3,1.5,0.25,1,646.3,0.0646,4.75,4.75,"Z","F",NA,"NO_2023",2022,0,8,8,"J1076_2021","J1076_2022","J1076_2023",NA,NA,NA,NA,42.2,243.7,42.2,243.7,NA,"NA_2022","non-owner",NA,NA,"J3477",NA,NA,"NA_2022",NA,NA,NA,NA,13.6313330395712,"positive",1,0,NA,NA,NA,NA,42.3,"NA_2022",225.5,15.6428689702333,"J1076J3477_2023",2021,"NA_2021",NA,NA,NA,2023,NA,-1,NA,1,1,1,3,NA,43.36746615,3,"Z","same_site",13.6442945735961,3.14457831325301,13.6313330395712,"J1076 J3477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J1093","B",20,"B20",2023,"20/04/2023","Z32","EY69938",11.6,0.1001,0.0907,90.7,3,1.5,0.25,1,522.9,0.0523,2.88,2.88,"Z","M",1.25,"Z32_2023",2022,0,8,8,"J1093_2021","J1093_2022","J1093_2023",NA,NA,NA,NA,45.2,270.7,45.2,270.7,"Z32","Z32_2022","owner","J1916","J1916","J1916","J1916 J1093","J1916 J1093","J1916 J1093_2022",4,0,NA,NA,20.2335696824707,"positive",1,1,NA,"J1916J1093",2,"Low",44.8363636363636,"J1916J1093_2022",223.784615384615,-3.47344266797301,"J1916J1093_2023",2021,"J1916J1093_2021",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"Medium",6.190848946,2,"Z","same_site",20.2465312164956,3.14457831325301,20.2335696824707,"J1916 J1093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"J1171","B",3,"B3",2023,"25/05/2023","Y01","EA78531",12.4,0.1088,0.0936,93.6,3,2,0.25,1,751.3,0.0751,3.01,3.01,"Y","M",1.9,"Y01_2023",2022,0,8,8,"J1171_2021","J1171_2022","J1171_2023",NA,NA,NA,NA,43.7,262.7,43.7,262.7,"Y01","Y01_2022","owner","J1031","J1031","J1031","J1031 J1171","J1031 J1171","J1031 J1171_2022",4,2,462.7,NA,22.432451361021,"positive",1,1,NA,"J1031J1171",1,"Low",43.88125,"J1031J1171_2022",240.7,9.64742896082616,"J1031J1171_2023",2021,"J1031J1171_2021",NA,NA,NA,2019,NA,3,NA,1,1,1,3,"Medium",44.08571697,2,"Y","same_site",22.4454128950458,3.14457831325301,22.432451361021,"J1031 J1171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,15
"J1222","B",9,"B9",2023,"14/06/2023","Z27","EY69962",11.3,0.09,0.0802,80.2,3,2,0.25,1,993.1,0.0993,4.64,4.64,"Z","F",1.5,"Z27_2023",2022,0,8,8,"J1222_2021","J1222_2022","J1222_2023",42,215.5,NA,NA,42,216.5,42,216,NA,"NA_2022","non-owner","J1155",NA,"J899","J1222 J1155",NA,"NA_2022",NA,NA,NA,NA,-12.7088160699554,"negative",0,0,NA,NA,NA,NA,42.04,"NA_2022",208.3,-13.3322627569735,"J1222J899_2023",2021,"J1222J1155_2021",NA,NA,NA,NA,2023,NA,-1,1,1,2,4,"Medium",27.63533746,4,"Z","same_site",-12.6958545359305,3.14457831325301,-12.7088160699554,"J1222 J899",NA,240,6.23243750929832,48,0.0308635284878402,245,1.53838362415096,0.0320496588364782,0.171275965256527,0.461879432624113,-0.359508209914816,0.829125749688681,NA,1
"J1351","B",53,"B53",2023,"20/04/2023","Z10","EY69980",11.5,0.1085,0.0977,97.7,3,1.5,0.25,1,646.7,0.0647,3.31,3.31,"Z","M",3.5,"Z10_2023",2022,0,10,10,"J1351_2021","J1351_2022","J1351_2023",NA,NA,NA,NA,43.7,267.2,43.7,267.2,"Z10","Z10_2022","owner","J42","J42","J42","J42 J1351","J42 J1351","J42 J1351_2022",5,2,490.3,0.314,26.932451361021,"positive",1,1,0.314,"J42J1351",4,"Medium",43.4333333333333,"J42J1351_2022",244,7.00282693911864,"J42J1351_2023",2021,"J42J1351_2021",NA,0.314,NA,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,26.9454128950458,5.14457831325301,26.932451361021,"J42 J1351",0.234597732886238,1015,14.7720472883121,88,0.11983046023132,3725,3.2899523108002,0.0373858217136387,0.284088207503767,0.505747126436782,-3.68849124680343,-2.20322855175546,2447,8
"J1368","B",52,"B52",2023,"21/04/2023","Y33","EZ25525",11.9,0.1013,0.0999,99.9,3,1.5,0.25,1,555.1,0.0555,2.78,2.78,"Y","M",1.2,"Y33_2023",2022,0,9,9,"J1368_2021","J1368_2022","J1368_2023",NA,NA,NA,NA,45,279.2,45,279.2,"Y33","Y33_2022","owner","J1902","J1902","J1902","J1902 J1368","J1902 J1368","J1902 J1368_2022",4,2,443.6,0.017,30.0934205729441,"positive",1,1,0.017,"J1902J1368",0,"Low",44.78,"J1902J1368_2022",257.76,15.7087280140097,"J1902J1368_2023",2021,"J1902J1368_2021",NA,0.017,NA,NA,2019,NA,3,1,1,1,3,NA,NA,NA,NA,NA,30.106382106969,4.14457831325301,30.0934205729441,"J1902 J1368",-0.0624022671137624,694,7.55282708959552,94,0.980760441113158,588,3.20173548511698,0.0340610157991168,0.219227614554399,0.575840768702814,-3.70778613389351,1.60711750274532,2542,20
"J1529","B",34,"B34",2023,"08/06/2023","Y32","EA79410",12.1,0.1011,0.0955,95.5,3,1.5,0.25,1,551.1,0.0551,2.89,2.89,"Y","M",1.2,"Y32_2023",2022,0,8,8,"J1529_2021","J1529_2022","J1529_2023",44.3,239.1,NA,NA,43.3,253.8,43.8,246.45,"Y32","Y32_2022","owner","J1046","J1046","J1046","J1046 J1529","J1046 J1529","J1046 J1529_2022",6,3,581.9,NA,5.50252591578434,"positive",1,1,NA,"J1046J1529",0,"Low",43.3,"J1046J1529_2022",232.142857142857,2.2792652786267,"J1046J1529_2023",2021,"J1046J1529_2021",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,5.5154874498092,3.14457831325301,5.50252591578434,"J1046 J1529",NA,669,8.54952615650958,85,0.953818519006091,831,2.89749729583134,0.0340882034803687,0.248326379336248,0.635854341736695,-3.50515788465769,0.718915254754209,3022,21
"J1902","B",11,"B11",2023,"21/04/2023","Y33","EZ25884",10.6,0.0818,0.0758,75.8,3,1.5,0.25,1,562.6,0.0563,3.71,3.71,"Y","F",0.333333333333333,"Y33_2023",2022,0,9,9,"J1902_2021","J1902_2022","J1902_2023",NA,NA,NA,NA,41.3,248.6,41.3,248.6,"Y33","Y33_2022","owner","J1368","J1368","J1368","J1902 J1368","J1902 J1368","J1902 J1368_2022",4,2,443.6,0.017,24.6506620467014,"positive",1,0,0.017,"J1902J1368",0,"Low",41.32,"J1902J1368_2022",226,4.32170977081253,"J1902J1368_2023",2021,"J1902J1368_2021",NA,0.017,NA,NA,2019,NA,3,1,1,1,3,NA,NA,NA,NA,NA,24.6636235807263,4.14457831325301,24.6506620467014,"J1902 J1368",-0.0624022671137624,330,9.45557879390139,79,0.825849402333958,220,2.60253513058972,0.0329434826656927,0.219227900428349,0.626095423563778,-2.69278356247088,1.30824904344724,2529,12
"J2072","B",64,"B64",2023,"07/04/2023","Y31","EZ62119",12.3,0.1122,0.1058,105.8,3,1.5,0.25,1,527.4,0.0527,2.49,2.49,"Y","M",5.5,"Y31_2023",2022,0,6,6,"J2072_2021","J2072_2022","J2072_2023",NA,NA,NA,NA,43,267.9,43,267.9,NA,"NA_2022","non-owner",NA,NA,"J5088",NA,NA,"NA_2022",NA,NA,NA,NA,32.3919294776778,"positive",1,1,NA,NA,NA,NA,43.525,"NA_2022",234.125,17.8693179695094,"J5088J2072_2023",2021,"NA_2021",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"Low",33.15872026,2,"Y","same_site",32.4048910117026,1.14457831325301,32.3919294776778,"J5088 J2072",NA,75,8.34085333506266,80,0.483016242694215,10,1.98091195066014,0.0247613993832518,0.195141682825371,0.654746835443038,-1.51886884343954,1.2751329575564,NA,72
