"pair_ID_year","pair_ID","female_CORT","female_CORT_year","male_CORT","male_CORT_year","same_diff","year_diff","year","female_ID","male_ID","year_paired","years_together","pbvid_mean","CORT_diff","site","male_body_cond","female_body_cond","female_CORT_resid","male_CORT_resid","female_CORT_z","male_CORT_z","female_body_cond_z","male_body_cond_z","female_CORT_log","male_CORT_log"
"J1318 J494_2020","J1318 J494",2,2020,4.07,2020,"same",0,20,"J1318","J494",NA,NA,0.1526382465,-2.07,"Y",-13.467548638979,-13.5281450770855,-1.28527174002984,0.457516744542866,-1.21548126401512,0.602460487629128,-0.549017703718845,-1.46422095192987,0.693147180559945,1.4036429994545
"J1319 J416_2018","J1319 J416",1.91,2018,2.68,2018,"same",0,18,"J1319","J416",NA,NA,0.02985090814,-0.77,"Y",14.0532714634175,-12.4686669604288,-1.36562027109265,-0.14027033459967,-1.2762819942028,-0.578974929358825,-0.491841466499937,0.462064673669078,0.647103242058538,0.985816794522765
"J1337 J1259_2019","J1337 J1259",5.29,2019,6.95,2019,"same",0,19,"J1337","J1259",NA,NA,0.08968386911,-1.66,"Z",-11.3065794270558,-19.2682941866122,0.612647244928557,2.92153339484302,1.00712320617897,3.05032667534517,-0.858792980808908,-1.31296659559886,1.66581824587021,1.9387416595767
"J1349 J1896_201819","J1349 J1896",2.53,2019,2.38,2018,"diff",1,18.5,"J1349","J1896",NA,NA,0.2371046782,0.15,"Y",-7.17918912214555,-21.167548638979,-0.824863990230313,-1.05146685980843,-0.857432519576556,-0.833960990579246,-0.961288937450526,-1.02407503691698,0.928219302739429,0.867100487683383
"J1349 J1896_201920","J1349 J1896",2.53,2019,2.12,2020,"diff",1,19.5,"J1349","J1896",NA,NA,0.2371046782,0.41,"Y",-7.17918912214555,-21.167548638979,-0.824863990230313,-1.31146685980843,-0.857432519576556,-1.05494891030361,-0.961288937450526,-1.02407503691698,0.928219302739429,0.751416088683921
"J164 J831_2018","J164 J831",5.81,2018,2.695,2018,"same",0,18,"J164","J831",NA,NA,0.0318145023685,3.115,"Z",2.43902299175961,-12.088741515192,1.19805041702031,-0.937786396477189,1.35841631393001,-0.566225626297804,-0.47133825171821,-0.350860224638768,1.75958057086382,0.99139820436096
"J1902 J1368_2023","J1902 J1368",3.71,2023,2.78,2023,"same",0,23,"J1902","J1368",19,4,0.017,0.93,"Y",30.0934205729441,24.6506620467014,0.772523618100883,0.421460577842898,-0.060267390449192,-0.493979575618685,1.51135569949304,1.58477499070117,1.31103187661934,1.02245092770255
"J1903 J469_2016","J1903 J469",3.08,2016,2.52,2016,"same",0,16,"J1903","J469",NA,NA,0.061666186,0.56,"Y",9.63319690865416,-1.58948706282523,-0.0965148104011321,-0.427506374819707,-0.485872501762954,-0.71496749534305,0.0952688860342088,0.152687044396506,1.12492959698548,0.924258901523332
"J1903 J469_201819","J1903 J469",2.8,2018,1.93,2019,"diff",1,18.5,"J1903","J469",NA,NA,0.061666186,0.87,"Y",9.63319690865416,-1.58948706282523,-0.376514810401132,-1.01750637481971,-0.675030329013515,-1.21644008240988,0.0952688860342088,0.152687044396506,1.02961941718116,0.657520002916794
"J1915 J1507_201920","J1915 J1507",4.94,2019,3.36,2020,"diff",1,19.5,"J1915","J1507",NA,NA,0.0045301896675,1.58,"Y",-16.7853865508428,-8.68725041992571,1.69882708907975,-0.347990368010823,0.770675922115772,-0.00100652392587008,-0.287771966862171,-1.69644889622481,1.59736533119983,1.21194097397511
